main.signature,correlated.signature,sample.number,main.mean.log,main.stdev.log,correlated.stdev.log,slope.linear,main.signature.lower.thres,correlated.signature.lower.thres,pearson.r.2.lower.thres,pearson.r.2.higher.thres
S.0.1.Rsq.0.1,SBS5,SBS1,500,2.5,0.4,1,0.1,100,1,0.09,0.11
S.0.1.Rsq.0.2,SBS5,SBS1,500,2.5,0.4,0.7,0.1,100,1,0.19,0.21
S.0.1.Rsq.0.3,SBS5,SBS1,500,2.5,0.4,0.5,0.1,100,1,0.29,0.31
S.0.1.Rsq.0.6,SBS5,SBS1,500,2.5,0.3,0.22,0.1,100,1,0.59,0.61
S.0.5.Rsq.0.1,SBS5,SBS1,500,2.5,0.4,1.1,0.5,100,1,0.09,0.11
S.0.5.Rsq.0.2,SBS5,SBS1,500,2.5,0.4,0.8,0.5,100,1,0.19,0.21
S.0.5.Rsq.0.3,SBS5,SBS1,500,2.5,0.3,0.4,0.5,100,1,0.29,0.31
S.0.5.Rsq.0.6,SBS5,SBS1,500,2.5,0.3,0.22,0.5,100,1,0.59,0.61
S.1.Rsq.0.1,SBS5,SBS1,500,2.5,0.2,1.2,1,100,100,0.09,0.11
S.1.Rsq.0.2,SBS5,SBS1,500,2.5,0.3,1.1,1,100,100,0.19,0.21
S.1.Rsq.0.3,SBS5,SBS1,500,2.5,0.3,0.5,1,100,100,0.29,0.31
S.1.Rsq.0.6,SBS5,SBS1,500,2.5,0.3,0.2,1,100,100,0.59,0.61
S.2.Rsq.0.1,SBS1,SBS5,500,2.5,0.4,1.1,0.5,100,1,0.09,0.11
S.2.Rsq.0.2,SBS1,SBS5,500,2.5,0.4,0.8,0.5,100,1,0.19,0.21
S.2.Rsq.0.3,SBS1,SBS5,500,2.5,0.3,0.4,0.5,100,1,0.29,0.31
S.2.Rsq.0.6,SBS1,SBS5,500,2.5,0.3,0.22,0.5,100,1,0.59,0.61
S.10.Rsq.0.1,SBS1,SBS5,500,2.5,0.4,1,0.1,100,1,0.09,0.11
S.10.Rsq.0.2,SBS1,SBS5,500,2.5,0.4,0.7,0.1,100,1,0.19,0.21
S.10.Rsq.0.3,SBS1,SBS5,500,2.5,0.4,0.5,0.1,100,1,0.29,0.31
S.10.Rsq.0.6,SBS1,SBS5,500,2.5,0.3,0.22,0.1,100,1,0.59,0.61
